ID,Title,Category,Image
1,Salt,Other,./images/ingredients/salt.png
2,Pepper,Other
3,Olive Oil,Other
4,Vegetable Oil,Other
5,Flour,Other
6,Water,Other
7,Chicken Broth,Other
8,Tomato Sauce,Other
9,Black Beans,Proteins
10,Cilantro,Vegetables
11,Honey,Other
12,Butter,Dairy
13,Lime,Fruits
14,Avocado,Fruits
15,Salmon,Proteins
16,Garlic,Vegetables
17,Carrots,Vegetables
18,Beef Short Ribs,Protein
19,Celery,Vegetables
20,Bacon,Proteins
21,Potato,Vegetables
22,Ground Beef,Proteins
23,Brown Rice,Grains
24,Linguine,Grains
25,Heavy Cream,Dairy
26,Shrimp,Proteins
27,EGG,Dairy,./images/ingredients/egg.jpeg
28,Chicken,Proteins
29,Spaghetti,Grains
30,Cheese,Dairy
31,Oregano ,Other
32,Parsley,Other
33,Broccoli,Vegetables
34,Banana,Fruits
35,Apple,Fruits
36,Orange,Fruits
37,Lemon,Fruits
38,Tomato ,Vegetables
39,Couscous,Grains
40,Sugar,Other
41,Sausage,Proteins
42,Arugula ,Other
43,Raisins,Fruits
44,Onions,Vegetables
45,Red Wine,Other
46,White Wine,Other
47,Soy Sauce,Other
48,Ground Beef,Proteins
49,Olives,Vegetables
50,Garlic Powder,Other
51,Onion Powder,Other
52,Pork Chops,Proteins
53,Green Onions,Vegetables
54,Cod,Proteins
55,Ground Black Pepper,Other
56,Parmesan Cheese,Dairy
57,Pesto,Other
58,Bread Crumbs,Grains
59,Dried Basil Leaves,Other
60,Beef Sirloin,Proteins
61,Red Bell Pepper,Vegetables
62,Sesame Seeds,Other
63,White Bread,Grains
64,Cheddar Cheese,Dairy
65,Cream Cheese,Dairy
66,Salsa,Other
67,Pinto Beans,Vegetables
68,Flour Tortillas,Grains
69,Shredded Colby-Jack Cheese,Dairy
70,Baby Back Ribs,Proteins
71,Barbeque Sauce,Other
72,Teriyaki Sauce,Other
73,Red Pepper Flakes,Other
74,Cream of Chicken Soup,Other
75,Biscuit Dough,Other
