ID,Title,Category,Image
1,Chicken Breasts,Proteins,./images/ingredients/ingredient1.png
2,Onion,Vegetables,./images/ingredients/ingredient2.png
3,Garlic,Vegetables,./images/ingredients/ingredient3.png
4,Butter,Dairy,./images/ingredients/ingredient4.png
5,Chicken Broth,Proteins,./images/ingredients/ingredient5.png
6,Water,Other,./images/ingredients/ingredient6.png
7,Ground Cumin,Other,./images/ingredients/ingredient7.png
8,Half-and-half Cream,Dairy,./images/ingredients/ingredient8.png
9,Shredded Monterey Jack Cheese,Dairy,./images/ingredients/ingredient9.png
10,Cream-style Corn,Vegetables,./images/ingredients/ingredient10.png
11,Green Chiles,Vegetables,./images/ingredients/ingredient11.png
12,Hot Pepper Sauce,Other,./images/ingredients/ingredient12.png
13,Tomatoes,Vegetables,./images/ingredients/ingredient13.png
14,Fresh Cilantro Sprigs,Vegetables,./images/ingredients/ingredient14.png
15,Lemon,Fruits,./images/ingredients/ingredient15.png
16,Salt,Other,./images/ingredients/ingredient16.png
17,Olive Oil,Other,./images/ingredients/ingredient17.png
18,Dried Oregano,Other,./images/ingredients/ingredient18.png
19,Ground Black Pepper,Other,./images/ingredients/ingredient19.png
20,Fresh Parsley,Other,./images/ingredients/ingredient20.png
21,Mayonnaise,Other,./images/ingredients/ingredient21.png
22,White Sugar,Other,./images/ingredients/ingredient22.png
23,Lemon Juice,Other,./images/ingredients/ingredient23.png
24,Apples,Fruits,./images/ingredients/ingredient24.png
25,Celery,Vegetables,./images/ingredients/ingredient25.png
26,Walnuts,Proteins,./images/ingredients/ingredient26.png
27,Raisins,Fruits,./images/ingredients/ingredient27.png
28,Leeks,Vegetables,./images/ingredients/ingredient28.png
29,Potatoes,Vegetables,./images/ingredients/ingredient29.png
30,Carrots,Vegetables,./images/ingredients/ingredient30.png
31,Fresh Asparagus,Vegetables,./images/ingredients/ingredient31.png
32,Long-grain White Rice,Grains,./images/ingredients/ingredient32.png
33,Fresh Spinach,Vegetables,./images/ingredients/ingredient33.png
34,Heavy Cream,Dairy,./images/ingredients/ingredient34.png
35,Linguine Pasta,Grains,./images/ingredients/ingredient35.png
36,Parmesan Cheese,Dairy,./images/ingredients/ingredient36.png
37,Pesto,Other,./images/ingredients/ingredient37.png
38,Shrimp,Proteins,./images/ingredients/ingredient38.png
39,Pork Chops,Proteins,./images/ingredients/ingredient39.png
40,Dry White Wine,Other,./images/ingredients/ingredient40.png
41,Dried Rosemary,Other,./images/ingredients/ingredient41.png
42,White Wine,Other,./images/ingredients/ingredient42.png
43,Fresh Thyme,Other,./images/ingredients/ingredient43.png
44,Fresh Basil,Other,./images/ingredients/ingredient44.png
45,Kalamata Olives,Fruits,./images/ingredients/ingredient45.png
46,Pepper,Vegetables,./images/ingredients/ingredient46.png
47,Yellow Onion,Vegetables,./images/ingredients/ingredient47.png
48,Chili Oil,Other,./images/ingredients/ingredient48.png
49,Tomato Sauce,Other,./images/ingredients/ingredient49.png
50,Diced Tomatoes,Vegetables,./images/ingredients/ingredient50.png
51,Soy Sauce,Other,./images/ingredients/ingredient51.png
52,Dried Italian Herb Seasoning,Other,./images/ingredients/ingredient52.png
53,Bay Leaves,Other,./images/ingredients/ingredient53.png
54,Elbow Macaroni,Grains,./images/ingredients/ingredient54.png
55,Ham,Proteins,./images/ingredients/ingredient55.png
56,All-purpose Flour,Other,./images/ingredients/ingredient56.png
57,Milk,Dary,./images/ingredients/ingredient57.png
58,Shredded Cheddar Cheese,Dairy,./images/ingredients/ingredient58.png
59,Bread Crumbs,Grains,./images/ingredients/ingredient59.png
60,Dry Enchilada Sauce Mix,Other,./images/ingredients/ingredient60.png
61,Flour Tortillas,Grains,./images/ingredients/ingredient61.png
62,Black Olives,Fruits,./images/ingredients/ingredient62.png
63,Salmon Steaks,Proteins,./images/ingredients/ingredient63.png
64,Lemon Pepper,Other,./images/ingredients/ingredient64.png
65,Mango,Fruits,./images/ingredients/ingredient65.png
66,Couscous,Grains,./images/ingredients/ingredient66.png
67,Cream Cheese,Dairy,./images/ingredients/ingredient67.png
68,Salsa,Other,./images/ingredients/ingredient68.png
69,Pinto Beans,Vegetables,./images/ingredients/ingredient69.png
70,Shredded Colby-Jack Cheese,Dairy,./images/ingredients/ingredient70.png
71,Fillet Cod,Proteins,./images/ingredients/ingredient71.png
72,Garlic Powder,Other,./images/ingredients/ingredient72.png
73,Spinach,Vegetables,./images/ingredients/ingredient73.png
74,Balsamic Vinegar,Other,./images/ingredients/ingredient74.png
75,Cheese,Dairy,./images/ingredients/ingredient75.png
76,Baking Potatoes,Vegetables,./images/ingredients/ingredient76.png
77,Bacon,Proteins,./images/ingredients/ingredient77.png
78,Sour Cream,Other,./images/ingredients/ingredient78.png
79,Green Onions,Vegetables,./images/ingredients/ingredient79.png
80,Peanut Oil,Other,./images/ingredients/ingredient80.png
81,Fresh Ginger,Vegetables,./images/ingredients/ingredient81.png
82,Cabbage,Vegetables,./images/ingredients/ingredient82.png
